Make,Model,Series,Trim,Engine model,Environmetal standard,Potencia(cm3),Engine Power(bhp),Torque(Nm),Engine Type,No of Cylinders,Fuel,Max speed (km/h),Payload,Amount of gear,Curb vehicle weight(kg),Gross vehicle weight(kg),Engine power at rpm (min-1),Torque at rpm (min-1)
Ford,Tourneo,Tourneo Bus,2.2 TDCi LWB,,EURO V,2198,125,350,Diesel,4,Diesel ,,826,6,2174,3000,3500,1500-2500
Ford,Tourneo,Tourneo Bus,2.2 TDCi SWB,,EURO V,2198,125,350,Diesel,4,Diesel ,,898,6,2102,3000,3500,1500-2500
Ford,Tourneo Connect,Tourneo Connect,1.8 TDCi,Duratorq DTCi,EURO IV,1753,110,250,Diesel,4,Diesel ,155,,5,1490,2110,,
Ford,Transit,Transit Bus,2.2 TDCi,Duratorq DTCi,EURO IV,2200,110,285,Diesel,4,Diesel ,120,,5,1621,2600,3500,1750
Ford,Transit,Transit Bus,2.4 DTCi LWB EL,Duratorq DTCi,EURO IV,2400,115,310,Diesel,4,Diesel ,,1640,6,2460,4100,3500,1750
Ford,Transit Custom,Transit Custom,2.2 TD LWB,,EURO V,2198,125,350,Diesel,4,Diesel ,157,,6,1821,3325,3500,1500-2500
GAC Gonow,Way M1,Way M1,1.0i,LJ465,EURO V,998,56,81,Gasoline,4,92 RON,120,900,5,,,5600,4000
GAC Gonow,Way V1,Way V1,1.0i,LJ465,EURO V,998,56,81,Gasoline,4,92 RON,120,680,5,,,5600,4000
Kia ,Bongo,Bongo,2.5TD AT/MT,,EURO IV,2497,130,255,Diesel,4,Diesel ,,990,5,1669,2669,3800,1300
Peugeot,Expert,Expert (X),2.0 HDi,DW10ATD,EURO IV,1998,120,300,Diesel,4,Diesel ,160,,6,1933,2805,4000,2000
